Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_AddItemTo,"Add Items to","Add Items to","Add Items to","Add Items to","Добавить предмет","Dodanie przedmiotu","Add Items to","Add Items to","Add Items to","Ajouter des objets à","Add Items to","Add Items to","Add Items to","将物品添加到",
STR_CantBeDamagedAnimalsinPvE,"PVE Block DMG to Animals","PVE Block DMG to Animals","PVE Block DMG to Animals","PVE Block DMG to Animals","Блокировка урона по животным в PvE","Blokowanie obrażeń od zwierząt w PvE","PVE Block DMG to Animals","PVE Block DMG to Animals","PVE Block DMG to Animals","Bloquer DMG aux animaux PvE","PVE Block DMG to Animals","PVE Block DMG to Animals","PVE Block DMG to Animals","PVE 阻挡对动物的伤害",
STR_AddtoAnimals,"Animals","Animals","Animals","Animals","Животные","Zwierzęta","Animals","Animals","Animals","Animaux","Animals","Animals","Animals","Animals",
STR_BlockDeployIfPlayerInPvEState,"Block Deploy Items PVE","Block Deploy Items PVE","Block Deploy Items PVE","Block Deploy Items PVE","Запрещённые предметы в PvE","Zakazane przedmioty w PvE","Block Deploy Items PVE","Block Deploy Items PVE","Block Deploy Items PVE","Bloquer déploiement d'objets PvE","Block Deploy Items PVE","Block Deploy Items PVE","Block Deploy Items PVE","PVE 阻止部署项目",
STR_AddtoDeployPvE,"Block Deploy PVE","Block Deploy PVE","Block Deploy PVE","Block Deploy PVE","Блок-а размещения в PvE","Blokowanie umieszczania w PvE","Block Deploy PVE","Block Deploy PVE","Block Deploy PVE","Bloquer déploiement PvE","Block Deploy PVE","Block Deploy PVE","Block Deploy PVE","PVE阻止部署",
STR_AddtoDeployPvP,"Block Deploy PVP","Block Deploy PVP","Block Deploy PVP","Block Deploy PVP","Блок-а размещения в PvP","Blokowanie umieszczania w PvP","Block Deploy PVP","Block Deploy PVP","Block Deploy PVP","Bloquer déploiement PvP","Block Deploy PVP","Block Deploy PVP","Block Deploy PVP","PVP阻止部署",
STR_BlockDeployIfPlayerInPvPState,"Block Deploy Items PVP","Block Deploy Items PVP","Block Deploy Items PVP","Block Deploy Items PVP","Запрещённые предметы в PvP","Zakazane przedmioty w PvP","Block Deploy Items PVP","Block Deploy Items PVP","Block Deploy Items PVP","Bloquer déploiement d'objets PvP","Block Deploy Items PVP","Block Deploy Items PVP","Block Deploy Items PVP","PVP 阻止部署项目",
STR_AddtoDeployRaid,"Block Deploy RAID","Block Deploy RAID","Block Deploy RAID","Block Deploy RAID","Блок-а размещения для RAID","Blokowanie umieszczania dla RAID","Block Deploy RAID","Block Deploy RAID","Block Deploy RAID","Bloquer déploiement RAID","Block Deploy RAID","Block Deploy RAID","Block Deploy RAID","突袭阻止部署",
STR_BlockDeployIfPlayerInRaidState,"Block Deploy Items RAID","Block Deploy Items RAID","Block Deploy Items RAID","Block Deploy Items RAID","Запрещённые предметы в RAID","Zakazane przedmioty w RAID","Block Deploy Items RAID","Block Deploy Items RAID","Block Deploy Items RAID","Bloquer déploiement d'objets RAID","Block Deploy Items RAID","Block Deploy Items RAID","Block Deploy Items RAID","突袭阻止部署物品",
STR_CustomClassNametoAdd,"CustomClass to add","CustomClass to add","CustomClass to add","CustomClass to add","Добавить пользовательский класс","Dodanie własnej klasy użytkownika","CustomClass to add","CustomClass to add","CustomClass to add","Class personnalisée à ajouter","CustomClass to add","CustomClass to add","CustomClass to add","要添加的自定义类",
STR_CustomClassNametoAddText,"Add custom class or base","Add custom class or base","Add custom class or base","Add custom class or base","Пользовательский базовый класс","Podstawowa klasa użytkownika","Add custom class or base","Add custom class or base","Add custom class or base","Ajouter Class personnalisée ou Base","Add custom class or base","Add custom class or base","Add custom class or base","添加自定义类或基类",
STR_NeedsAnimalMod,"Needs Niinjins Animal Mod","Needs Niinjins Animal Mod","Needs Niinjins Animal Mod","Needs Niinjins Animal Mod","Требуется мод Niinjins Animal","Wymagany mod Niinjins Animal","Needs Niinjins Animal Mod","Needs Niinjins Animal Mod","Needs Niinjins Animal Mod","Nécessite le Animal Mod Niinjins","Needs Niinjins Animal Mod","Needs Niinjins Animal Mod","Needs Niinjins Animal Mod","需要Niinjins动物Mod",
STR_ZoneCreationTitle,"Enable / Disable Zone creation","Enable / Disable Zone creation","Enable / Disable Zone creation","Enable / Disable Zone creation","Вкл./Выкл. создания зон","Włączanie/Wyłączanie tworzenia stref","Enable / Disable Zone creation","Enable / Disable Zone creation","Enable / Disable Zone creation","Active/Désactive création de zones","Enable / Disable Zone creation","Enable / Disable Zone creation","Enable / Disable Zone creation","启用/禁用区域创建",
STR_AFKKickTtitle,"AFK Settings","AFK Settings","AFK Settings","AFK Settings","Настройки AFK","Ustawienia AFK","AFK Settings","AFK Settings","AFK Settings","Paramètres AFK","AFK Settings","AFK Settings","AFK Settings","AFK设置",
STR_CountDownsTitleText,"Countdown Settings","Countdown Settings","Countdown Settings","Countdown Settings","Настройки обратного отсчёта","Ustawienia odliczania","Countdown Settings","Countdown Settings","Countdown Settings","Paramètres compte à rebours","Countdown Settings","Countdown Settings","Countdown Settings","倒计时设置",
STR_SafeZoneSettings,"SafeZone Settings","SafeZone Settings","SafeZone Settings","SafeZone Settings","Настройки безопасной зоны","Ustawienia bezpiecznej strefy","SafeZone Settings","SafeZone Settings","SafeZone Settings","Paramètres de SafeZone","SafeZone Settings","SafeZone Settings","SafeZone Settings","安全区设置",
STR_ActionsSettingsTitle,"Enable / Disable Actions","Enable / Disable Actions","Enable / Disable Actions","Enable / Disable Actions","Вкл./Выкл. действий","Włączanie/Wyłączanie działań","Enable / Disable Actions","Enable / Disable Actions","Enable / Disable Actions","Active/Désactive les Actions","Enable / Disable Actions","Enable / Disable Actions","Enable / Disable Actions","启用/禁用操作",
STR_GlobalPvPPvESettings,"Global PvP / PvE Settings","Global PvP / PvE Settings","Global PvP / PvE Settings","Global PvP / PvE Settings","Глобальные настройки PvP/PvE","Globalne ustawienia PvP/PvE","Global PvP / PvE Settings","Global PvP / PvE Settings","Global PvP / PvE Settings","Paramètres PvP / PvE globaux","Global PvP / PvE Settings","Global PvP / PvE Settings","Global PvP / PvE Settings","全局PvP/PvE设置",
STR_GlobalCameraSettings,"Camera Settings","Camera Settings","Camera Settings","Camera Settings","Настройки камеры","Ustawienia kamery","Camera Settings","Camera Settings","Camera Settings","Réglages caméra","Camera Settings","Camera Settings","Camera Settings","Camera Settings",
STR_LB_AdminMap,"Draw Zones on LB Admin Map","Draw Zones on LB Admin Map","Draw Zones on LB Admin Map","Draw Zones on LB Admin Map","Отображать зоны на карте LB Admin Map","Wyświetlanie stref na mapie LB Admin Map","Draw Zones on LB Admin Map","Draw Zones on LB Admin Map","Draw Zones on LB Admin Map","Dessiner Zones sur LB Admin Map","Draw Zones on LB Admin Map","Draw Zones on LB Admin Map","Draw Zones on LB Admin Map","在LB管理地图上绘制区域",
STR_EVRStormSZNoShock,"Disable Shock Damage on SZs from EVR Storm","Disable Shock Damage on SZs from EVR Storm","Disable Shock Damage on SZs from EVR Storm","Disable Shock Damage on SZs from EVR Storm","Откл. урон от шока в безопасных зонах во время шторма EVR","Wyłączenie obrażeń od szoku w bezpiecznych strefach podczas burzy EVR","Disable Shock Damage on SZs from EVR Storm","Disable Shock Damage on SZs from EVR Storm","Disable Shock Damage on SZs from EVR Storm","Désactiver dégâts de choc sur SZ pendant tempête EVR","Disable Shock Damage on SZs from EVR Storm","Disable Shock Damage on SZs from EVR Storm","Disable Shock Damage on SZs from EVR Storm","禁用EVR风暴对SZ的冲击损伤",
STR_EnableExpansion2DMarkerOnly,"Only Expansion 2D Marker","Only Expansion 2D Marker","Only Expansion 2D Marker","Only Expansion 2D Marker","Только 2D-маркер Expansion","Tylko 2D-marker Expansion","Only Expansion 2D Marker","Only Expansion 2D Marker","Only Expansion 2D Marker","Marqueurs 2D Expansion activé","Only Expansion 2D Marker","Only Expansion 2D Marker","Only Expansion 2D Marker","仅扩展2D标记",
STR_ZoneSettings,"Selected Zone Settings","Selected Zone Settings","Selected Zone Settings","Selected Zone Settings","Настройки выбранной зоны","Ustawienia wybranej strefy","Selected Zone Settings","Selected Zone Settings","Selected Zone Settings","Réglages Zone Sélectionnée","Selected Zone Settings","Selected Zone Settings","Selected Zone Settings","选则区域设置",
STR_btnOther,"OTHER","OTHER","OTHER","OTHER","ПРОЧИЕ","INNE","OTHER","OTHER","OTHER","AUTRE","其他","OTHER","OTHER","其他",
STR_btnGeneral,"GENERAL","GENERAL","GENERAL","GENERAL","ОБЩИЕ","OGÓLNE","GENERAL","GENERAL","GENERAL","GÉNÉRAL","常规","GENERAL","GENERAL","常规",
STR_btnMap,"MAP","MAP","MAP","MAP","КАРТА","MAPA","MAP","MAP","MAP","MAP","地图","MAP","MAP","地图",
STR_btnVehicle,"VEHICLE","VEHICLE","VEHICLE","VEHICLE","ТРАНСПОРТ","TRANSPORT","VEHICLE","VEHICLE","VEHICLE","VÉHICULE","载具","VEHICLE","VEHICLE","载具",
STR_btnLockpick,"LOCKPICK & ROBBERY","LOCKPICK & ROBBERY","LOCKPICK & ROBBERY","LOCKPICK & ROBBERY","ВЗЛОМ И ГРАБЁЖ","WŁAMANIA I GRABIEŻ","LOCKPICK & ROBBERY","LOCKPICK & ROBBERY","LOCKPICK & ROBBERY","CROCHETAGE ET PILLAGE","撬锁&打劫","LOCKPICK & ROBBERY","LOCKPICK & ROBBERY","撬锁&打劫",
STR_btnTerritory,"TERRITORY","TERRITORY","TERRITORY","TERRITORY","ТЕРРИТОРИЯ","TEREN","TERRITORY","TERRITORY","TERRITORY","TERRITOIRE","领土","TERRITORY","TERRITORY","领土",
STR_btnAI,"EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","扩展","EXPANSION","EXPANSION","扩展",
STR_btnRaid,"RAID","RAID","RAID","RAID","РЕЙД","RAID","RAID","RAID","RAID","RAID","突袭","RAID","RAID","突袭",
STR_GeneralTitle,"== General ==","== General ==","== General ==","== General ==","== ОБЩИЕ ==","== General ==","== General ==","== General ==","== General ==","== Général ==","== 常规 ==","== General ==","== General ==","== 常规 ==",
STR_StartingDayOfTheWeekTitle,"Starting Day Of The Week","Starting Day Of The Week","Starting Day Of The Week","Starting Day Of The Week","Первый день недели","Pierwszy dzień tygodnia","Starting Day Of The Week","Starting Day Of The Week","Starting Day Of The Week","Début du jour de la semaine","一周的起始日","Starting Day Of The Week","Starting Day Of The Week","一周的起始日",
STR_EnableReflectDamageTitle,"Enable Reflect Damage","Enable Reflect Damage","Enable Reflect Damage","Enable Reflect Damage","Вкл/Выкл отражение урона","Włącz/Wyłącz odbicie obrażeń","Enable Reflect Damage","Enable Reflect Damage","Enable Reflect Damage","Activer le renvoi de dommages","启用反弹伤害","Enable Reflect Damage","Enable Reflect Damage","启用反弹伤害",
STR_PvPExitCountdownTitle,"PvP Exit Countdown (sec)","PvP Exit Countdown (sec)","PvP Exit Countdown (sec)","PvP Exit Countdown (sec)","Отсчет выхода из PvP (сек.)","Odliczanie wyjścia z PvP (sek.)","PvP Exit Countdown (sec)","PvP Exit Countdown (sec)","PvP Exit Countdown (sec)","Compte à rebours de sortie PVP (secs)","PvP退出倒计时（秒）","PvP Exit Countdown (sec)","PvP Exit Countdown (sec)","PvP退出倒计时（秒）",
STR_RaidExitCountdownTitle,"Raid Exit Countdown (sec)","Raid Exit Countdown (sec)","Raid Exit Countdown (sec)","Raid Exit Countdown (sec)","Отсчет выхода из рейда (сек.)","Odliczanie wyjścia z RAID (sek.)","Raid Exit Countdown (sec)","Raid Exit Countdown (sec)","Raid Exit Countdown (sec)","Compte à rebours de sortie du Raid (secs)","突袭退出倒计时（秒）","Raid Exit Countdown (sec)","Raid Exit Countdown (sec)","突袭退出倒计时（秒）",
STR_AllowRestrainTargetinPvETitle,"Allow Restrain Target in PvE","Allow Restrain Target in PvE","Allow Restrain Target in PvE","Allow Restrain Target in PvE","Разрешить связывать цель (Pve)","Zezwolić na wiązanie celu (PvE)","Allow Restrain Target in PvE","Allow Restrain Target in PvE","Allow Restrain Target in PvE","Autoriser l'immobilisation de la cible en PvE","允许PvE中的限制目标","Allow Restrain Target in PvE","Allow Restrain Target in PvE","允许PvE中的限制目标",
STR_AllowRestrainTargetinPvPTitle,"Allow Restrain Target in PvP","Allow Restrain Target in PvP","Allow Restrain Target in PvP","Allow Restrain Target in PvP","Разрешить связывать цель (PvP)","Zezwolić na wiązanie celu (PvP)","Allow Restrain Target in PvP","Allow Restrain Target in PvP","Allow Restrain Target in PvP","Autoriser l'immobilisation de la cible en PvP","允许PvP中的限制目标","Allow Restrain Target in PvP","Allow Restrain Target in PvP","允许PvP中的限制目标",
STR_AllowRestrainTargetinRaidTitle,"Allow Restrain Target in Raid","Allow Restrain Target in Raid","Allow Restrain Target in Raid","Allow Restrain Target in Raid","Разрешить связывать цель (Raid)","Zezwolić na wiązanie celu (RAID)","Allow Restrain Target in Raid","Allow Restrain Target in Raid","Allow Restrain Target in Raid","Autoriser l'immobilisation de la cible en Raid","允许突袭中的限制目标","Allow Restrain Target in Raid","Allow Restrain Target in Raid","允许突袭中的限制目标",
STR_ThirdPersonOnlyDriverTitle,"Third Person Only Driver","Third Person Only Driver","Third Person Only Driver","Third Person Only Driver","Вид от 3-го лица только для водителя","Widok z trzeciej osoby tylko dla kierowcy","Third Person Only Driver","Third Person Only Driver","Third Person Only Driver","Conducteur à la troisième personne seulement","仅限第三人驾驶","Third Person Only Driver","Third Person Only Driver","仅限第三人驾驶",
STR_EnablePvPEverywhereTitle,"Enable PvP Everywhere","Enable PvP Everywhere","Enable PvP Everywhere","Enable PvP Everywhere","Включить PvP на всей карте","Włączyć PvP na całej mapie","Enable PvP Everywhere","Enable PvP Everywhere","Enable PvP Everywhere","Activer le PvP partout","所有地方启动PVP","Enable PvP Everywhere","Enable PvP Everywhere","所有地方启动PVP",
STR_EnablePvEEverywhereTitle,"Enable PvE Everywhere","Enable PvE Everywhere","Enable PvE Everywhere","Enable PvE Everywhere","Включить PvE на всей карте","Włączyć PvE na całej mapie","Enable PvE Everywhere","Enable PvE Everywhere","Enable PvE Everywhere","Activer le PvE partout","所有地方启动PVE","Enable PvE Everywhere","Enable PvE Everywhere","所有地方启动PVE",
STR_ForceFirstPersonGlobalPvPTitle,"Force First Person Global PvP","Force First Person Global PvP","Force First Person Global PvP","Force First Person Global PvP","PvP только от первого лица (глобально)","PvP tylko z perspektywy pierwszej osoby (globalnie)","Force First Person Global PvP","Force First Person Global PvP","Force First Person Global PvP","Forcer la première personne pour le PvP Global","全局PvP强制第一人称","Force First Person Global PvP","Force First Person Global PvP","全局PvP强制第一人称",
STR_ForceFirstPersonGlobalPvETitle,"Force First Person Global PvE","Force First Person Global PvE","Force First Person Global PvE","Force First Person Global PvE","PvE только от первого лица (глобально)","PvE tylko z perspektywy pierwszej osoby (globalnie)","Force First Person Global PvE","Force First Person Global PvE","Force First Person Global PvE","Forcer la première personne pour le PvE Global","全局PvE强制第一人称","Force First Person Global PvE","Force First Person Global PvE","全局PvE强制第一人称",
STR_BlockChemGasGrenadeOutsidePvPTitle,"Block Chem Gas Grenade Outside PvP","Block Chem Gas Grenade Outside PvP","Block Chem Gas Grenade Outside PvP","Block Chem Gas Grenade Outside PvP","Запретить хим. гранату вне PvP","Zakazać użycia chemicznego granatu poza PvP","Block Chem Gas Grenade Outside PvP","Block Chem Gas Grenade Outside PvP","Block Chem Gas Grenade Outside PvP","Bloquer la grenade à gaz toxique à l'extérieur du PvP","PvP外的块状化学气体手榴弹","Block Chem Gas Grenade Outside PvP","Block Chem Gas Grenade Outside PvP","Block Chem Gas Grenade Outside PvP",
STR_AllowedRaidingPlayersTitle,"Only allowed raiding Players","Only allowed raiding Players","Only allowed raiding Players","Only allowed raiding Players","Рейды только для разрешённых игроков.","RAIDy tylko dla upoważnionych graczy","Only allowed raiding Players","Only allowed raiding Players","Only allowed raiding Players","Seuls les joueurs de raid autorisés","Only allowed raiding Players","Only allowed raiding Players","Only allowed raiding Players","Only allowed raiding Players",
STR_LoggingLevelTitle,"Logging Level (needs server restart)","Logging Level (needs server restart)","Logging Level (needs server restart)","Logging Level (needs server restart)","Уровень логирования (требуется перезапуск сервера)","Poziom logowania (wymaga ponownego uruchomienia serwera)","Logging Level (needs server restart)","Logging Level (needs server restart)","Logging Level (needs server restart)","Niveau de journalisation (besoin redémarrage serveur)","日志记录级别（需要重新启动服务器）","Logging Level (needs server restart)","Logging Level (needs server restart)","日志记录级别（需要重新启动服务器）",
STR_DisableGiveBloodTargetPvETitle,"Disable Give Blood to Target in PvE","Disable Give Blood to Target in PvE","Disable Give Blood to Target in PvE","Disable Give Blood to Target in PvE","Отключить переливание крови другому игроку в PvE зоне","Wyłączyć transfuzję krwi innemu graczowi w strefie PvE","Disable Give Blood to Target in PvE","Disable Give Blood to Target in PvE","Disable Give Blood to Target in PvE","Désactiver donner du sang à la cible dans PvE","在PvE中禁用向目标献血","Disable Give Blood to Target in PvE","Disable Give Blood to Target in PvE","在PvE中禁用向目标献血",
STR_DisableForceFeedPvETitle,"Disable Force Feed in PvE","Disable Force Feed in PvE","Disable Force Feed in PvE","Disable Force Feed in PvE","Отключить принудительное кормление в PvE зонах","Wyłączyć wymuszone karmienie w strefach PvE","Disable Force Feed in PvE","Disable Force Feed in PvE","Disable Force Feed in PvE","Désactiver l'alimentation par force en PvE","在PvE中禁用强制馈送","Disable Force Feed in PvE","Disable Force Feed in PvE","在PvE中禁用强制馈送",
STR_DisableForceDrinkPvETitle,"Disable Force Drink in PvE","Disable Force Drink in PvE","Disable Force Drink in PvE","Disable Force Drink in PvE","Отключить принудительное употребление напитков в PvE зонах","Wyłączyć wymuszone picie w strefach PvE","Disable Force Drink in PvE","Disable Force Drink in PvE","Disable Force Drink in PvE","Désactiver donner à boire par force en PvE","在PvE中禁用强制饮料","Disable Force Drink in PvE","Disable Force Drink in PvE","在PvE中禁用强制饮料",
STR_DisableToxicExposureInPvETitle,"Disable Toxic Zone Damage in PvE","Disable Toxic Zone Damage in PvE","Disable Toxic Zone Damage in PvE","Disable Toxic Zone Damage in PvE","Отключить урон от токсичной зоны в PvE","Wyłączyć obrażenia od toksycznej strefy w PvE","Disable Toxic Zone Damage in PvE","Disable Toxic Zone Damage in PvE","Disable Toxic Zone Damage in PvE","Désactiver les dommages en zone toxique en PvE","禁用PvE中的有毒区域伤害","Disable Toxic Zone Damage in PvE","Disable Toxic Zone Damage in PvE","禁用PvE中的有毒区域伤害",
STR_EnableAFKKickTitle,"Enable AFK Kick","Enable AFK Kick","Enable AFK Kick","Enable AFK Kick","Включить автоматическое отключение игроков за бездействие","Włączyć automatyczne rozłączanie graczy za bezczynność","Enable AFK Kick","Enable AFK Kick","Enable AFK Kick","Activer l'AFK Kick","启用AFK踢出","Enable AFK Kick","Enable AFK Kick","启用AFK踢出",
STR_AFKKickTimeoutTitle,"AFK Kick Timeout (sec)","AFK Kick Timeout (sec)","AFK Kick Timeout (sec)","AFK Kick Timeout (sec)","Время ожидания перед отключением за бездействие (в секундах)","Czas oczekiwania przed rozłączeniem za bezczynność (w sekundach)","AFK Kick Timeout (sec)","AFK Kick Timeout (sec)","AFK Kick Timeout (sec)","Délai d'attente AFK Kick (secs)","AFK踢出时间（秒）","AFK Kick Timeout (sec)","AFK Kick Timeout (sec)","AFK踢出时间（秒）",
STR_SafeZoneExitCountdownTitle,"SafeZone Exit Countdown (sec)","SafeZone Exit Countdown (sec)","SafeZone Exit Countdown (sec)","SafeZone Exit Countdown (sec)","Отсчет выхода из безопасной зоны (сек.)","Odliczanie wyjścia z bezpiecznej strefy (sek.)","SafeZone Exit Countdown (sec)","SafeZone Exit Countdown (sec)","SafeZone Exit Countdown (sec)","Compte à rebours de sortie de zone de sécurité (secs)","安全区出口倒计时（秒）","SafeZone Exit Countdown (sec)","SafeZone Exit Countdown (sec)","安全区出口倒计时（秒）",
STR_SafeZoneZombieKillPanelTitle,"Kill Zombies in Safe Zone","Kill Zombies in Safe Zone","Kill Zombies in Safe Zone","Kill Zombies in Safe Zone","Очистка зомби в безопасной зоне","Czyszczenie zombie w bezpiecznej strefie","Kill Zombies in Safe Zone","Kill Zombies in Safe Zone","Kill Zombies in Safe Zone","Tuer des zombies dans la zone de sécurité","在安全区杀死僵尸","Kill Zombies in Safe Zone","Kill Zombies in Safe Zone","在安全区杀死僵尸",
STR_SafeZoneZombieKillIntervalTitle,"Safe Zone Zombie/Animal check interval (secs)","Safe Zone Zombie/Animal check interval (secs)","Safe Zone Zombie/Animal check interval (secs)","Safe Zone Zombie/Animal check interval (secs)","Очистка зомби/животных (сек)","Czyszczenie zombie/zwierząt (sek.)","Safe Zone Zombie/Animal check interval (secs)","Safe Zone Zombie/Animal check interval (secs)","Safe Zone Zombie/Animal check interval (secs)","Intervalle contrôle zombie/animaux en zone de sécurité (secs)","安全区僵尸检查间隔（秒）)","Safe Zone Zombie/Animal check interval (secs)","Safe Zone Zombie/Animal check interval (secs)","安全区僵尸检查间隔（秒）)",
STR_Mi8CreationPanelTite,"Enable Mi8 Zone creation","Enable Mi8 Zone creation","Enable Mi8 Zone creation","Enable Mi8 Zone creation","Включить создание зоны Mi8","Włączyć tworzenie strefy Mi8","Enable Mi8 Zone creation","Enable Mi8 Zone creation","Enable Mi8 Zone creation","Activer la création de la zone Mi8","启用Mi8区域创建","Enable Mi8 Zone creation","Enable Mi8 Zone creation","启用Mi8区域创建",
STR_UH1YPanelTitle,"Enable UH1Y Zone creation","Enable UH1Y Zone creation","Enable UH1Y Zone creation","Enable UH1Y Zone creation","Включить создание зоны UH1Y","Włączyć tworzenie strefy UH1Y","Enable UH1Y Zone creation","Enable UH1Y Zone creation","Enable UH1Y Zone creation","Activer la création de la zone UH1Y","启用UH1Y区域创建","Enable UH1Y Zone creation","Enable UH1Y Zone creation","启用UH1Y区域创建",
STR_AirdropCreationPanelTitle,"Enable Airdrop Zone creation","Enable Airdrop Zone creation","Enable Airdrop Zone creation","Enable Airdrop Zone creation","Включить аirdrop-зону","Włączyć strefę zrzutu zaopatrzenia (airdrop)","Enable Airdrop Zone creation","Enable Airdrop Zone creation","Enable Airdrop Zone creation","Activer la création de la zone Airdrop","启用空投区域创建","Enable Airdrop Zone creation","Enable Airdrop Zone creation","启用空投区域创建",
STR_DisableArmExplosivePvETitle,"Disable Arming,Disarm and Remotetrigger in PvE","Disable Arming,Disarm and Remotetrigger in PvE","Disable Arming,Disarm and Remotetrigger in PvE","Disable Arming,Disarm and Remotetrigger in PvE","Отключить манипуляции с взрывчаткой в PvE зонах","Wyłączyć manipulacje materiałami wybuchowymi w strefach PvE","Disable Arming,Disarm and Remotetrigger in PvE","Disable Arming,Disarm and Remotetrigger in PvE","Disable Arming,Disarm and Remotetrigger in PvE","Désactiver l'armement, le désarmement et le déclenchement à distance en PvE","在PvE中禁用武装、解除武装和远程触发","Disable Arming,Disarm and Remotetrigger in PvE","Disable Arming,Disarm and Remotetrigger in PvE","在PvE中禁用武装、解除武装和远程触发",
STR_DisableFallDamageTitle,"Disable Fall damage","Disable Fall damage","Disable Fall damage","Disable Fall damage","Отключить урон от падения","Wyłączyć obrażenia od upadku","Disable Fall damage","Disable Fall damage","Disable Fall damage","Désactiver les dégâts de chute","禁用坠落伤害","Disable Fall damage","Disable Fall damage","禁用坠落伤害",
STR_EnableKOTHZoneCreationTitle,"Enable MZ KOTH Zone creation","Enable MZ KOTH Zone creation","Enable MZ KOTH Zone creation","Enable MZ KOTH Zone creation","Включить создание зоны MZ KOTH","Włączyć tworzenie strefy MZ KOTH","Enable MZ KOTH Zone creation","Enable MZ KOTH Zone creation","Enable MZ KOTH Zone creation","Activer la création de la zone MZ KOTH","启用MZ KOTH区域创建","Enable MZ KOTH Zone creation","Enable KOTH Zone creation","启用MZ KOTH区域创建",
